,Province,April20,April21,April22
0,Alberta,4457.4623791519525,4629.875165682278,4843.644930098867
1,British Columbia,4680.681711848304,4856.134894748373,5073.863544082799
2,Manitoba,3480.0738047166365,3645.228366698496,3846.5704645386722
3,New Brunswick,3330.83310460193,3493.8250434107467,3692.52262419939
4,Newfoundland and Labrador,3527.9854613836806,3694.297434682328,3896.8471195806774
5,Nova Scotia,3505.7518045210404,3670.1161866657053,3871.058389390889
6,Ontario,7449.051316711211,7645.523875525196,7901.399922313419
7,Prince Edward Island,3112.293962020888,3271.741639326862,3466.1935222730403
8,Quebec,10193.796464649426,10406.205388767266,10694.526853148027
9,Saskatchewan,3487.4678591442034,3652.00879626418,3852.8896495033578
10,Canada,47225.39786874928,48964.95679177143,51139.51701912913
