,Province,April20,April21,April22
0,Alberta,155.07949990829792,165.29716138586275,173.90202345898638
1,British Columbia,183.33274910188743,193.8351376590656,202.72563880074108
2,Manitoba,107.64746771185685,116.42047416635256,123.98232467506716
3,New Brunswick,78.2330279273134,84.75840519444756,90.25723223098532
4,Newfoundland and Labrador,124.93219280932612,134.99161912805755,143.33380150661418
5,Nova Scotia,87.98474701954547,95.6246781124608,102.59749635966068
6,Ontario,453.8676323893836,471.9683359187734,486.8649342208264
7,Prince Edward Island,37.762124430192046,42.148675942378134,47.16791468248323
8,Quebec,501.9136581802512,521.240681447824,536.9844380114425
9,Saskatchewan,95.26797656619277,103.21671173926006,110.32238442918208
10,Canada,1826.021076044247,1929.5018806944825,2018.138188375989
