Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
China,1438116346,0,5540090,153,9388211,-348399,1.7,38,0.61,0.18
India,1377011281,0.01,13586631,464,2973190,-532687,2.2,28,0.35,0.18
United States,330578810,0.01,1937734,36,9147420,954806,1.8,38,0.83,0.04
Indonesia,272884327,0.01,2898047,151,1811570,-98955,2.3,30,0.56,0.04
Pakistan,219922471,0.02,4327022,287,770880,-233379,3.6,23,0.35,0.03
Brazil,212228418,0.01,1509890,25,8358140,21200,1.7,33,0.88,0.03
Nigeria,204968096,0.03,5175990,226,910770,-60000,5.4,18,0.52,0.03
Bangladesh,164327299,0.01,1643222,1265,130170,-369501,2.1,28,0.39,0.02
Russia,145920988,0,62206,9,16376870,182456,1.8,40,0.74,0.02
Mexico,128633396,0.01,1357224,66,1943950,-60000,2.1,29,0.84,0.02
Japan,126559084,0,-383840,347,364555,71560,1.4,48,0.92,0.02
Ethiopia,114310670,0.03,2884858,115,1000000,30000,4.3,19,0.21,0.01
Philippines,109256431,0.01,1464463,368,298170,-67152,2.6,26,0.47,0.01
Egypt,101898587,0.02,1946331,103,995450,-38033,3.3,25,0.43,0.01
Vietnam,97145784,0.01,876473,314,310070,-80000,2.1,32,0.38,0.01
DR Congo,88927843,0.03,2770836,40,2267050,23861,6,17,0.46,0.01
Turkey,84138381,0.01,909452,110,769630,283922,2.1,32,0.76,0.01
Iran,83753963,0.01,1079043,52,1628550,-55000,2.2,32,0.76,0.01
Germany,83725843,0,266897,240,348560,543822,1.6,46,0.76,0.01
Thailand,69762062,0,174396,137,510890,19444,1.5,40,0.51,0.01
United Kingdom,67808264,0.01,355839,281,241930,260650,1.8,40,0.83,0.01
France,65242267,0,143783,119,547557,36527,1.9,42,0.82,0.01
Italy,60480876,0,-88249,206,294140,148943,1.3,47,0.69,0.01
Tanzania,59340310,0.03,1728755,67,885800,-40076,4.9,18,0.37,0.01
South Africa,59142545,0.01,750420,49,1213090,145405,2.4,28,0.67,0.01
Myanmar,54329979,0.01,364380,83,653290,-163313,2.2,29,0.31,0.01
Kenya,53501654,0.02,1197323,94,569140,-10000,3.5,20,0.28,0.01
South Korea,51259674,0,43877,527,97230,11731,1.1,44,0.82,0.01
Colombia,50762992,0.01,543448,46,1109500,204796,1.8,31,0.8,0.01
Spain,46750879,0,18002,94,498800,40000,1.3,45,0.8,0.01
Uganda,45403841,0.03,1471413,229,199810,168694,5,17,0.26,0.01
Argentina,45104437,0.01,415097,17,2736690,4800,2.3,32,0.93,0.01
Algeria,43672620,0.02,797990,18,2381740,-10000,3.1,29,0.73,0.01
Sudan,43615385,0.02,1036022,25,1765048,-50000,4.4,20,0.35,0.01
Ukraine,43789407,-0.01,-259876,75,579320,10000,1.4,41,0.69,0.01
Iraq,40016794,0.02,912710,93,434320,7834,3.7,21,0.73,0.01
Afghanistan,38728504,0.02,886592,60,652860,-62920,4.6,18,0.25,0.01
Poland,37855501,0,-41157,124,306230,-29395,1.4,42,0.6,0
Canada,37669351,0.01,331107,4,9093510,242032,1.5,41,0.81,0
Morocco,36813543,0.01,438791,83,446300,-51419,2.4,30,0.64,0
Saudi Arabia,34692483,0.02,545343,16,2149690,134979,2.3,32,0.84,0
Uzbekistan,33360904,0.01,487487,79,425400,-8863,2.4,28,0.5,0
Peru,32869455,0.01,461401,26,1280000,99069,2.3,31,0.79,0
Angola,32627944,0.03,1040977,26,1246700,6413,5.6,17,0.67,0
Malaysia,32273812,0.01,416222,99,328550,50000,2,30,0.78,0
Mozambique,31052951,0.03,889399,40,786380,-5000,4.9,18,0.38,0
Ghana,30925720,0.02,655084,137,227540,-10000,3.9,22,0.57,0
Yemen,29676420,0.02,664042,56,527970,-30000,3.8,20,0.38,0
Nepal,29018745,0.02,528098,203,143350,41710,1.9,25,0.21,0
Venezuela,28453143,0,-79889,32,882050,-653249,2.3,30,0,0
Madagascar,27527398,0.03,721711,48,581795,-1500,4.1,20,0.39,0
Cameroon,26394308,0.03,669483,56,472710,-4800,4.6,19,0.56,0
Côte d'Ivoire,26228509,0.03,661730,83,318000,-8000,4.7,19,0.51,0
North Korea,25754241,0,112655,214,120410,-5403,1.9,35,0.63,0
Australia,25434316,0.01,296686,3,7682300,158246,1.8,38,0.86,0
Niger,23999611,0.04,895929,19,1266700,4000,7,15,0.17,0
Taiwan,23807460,0,42899,673,35410,30001,1.2,42,0.79,0
Sri Lanka,21393728,0,89516,341,62710,-97986,2.2,34,0.18,0
Burkina Faso,20770940,0.03,581895,76,273600,-25000,5.2,18,0.31,0
Mali,20115681,0.03,592802,17,1220190,-40000,5.9,16,0.44,0
Romania,19264824,-0.01,-126866,84,230170,-73999,1.6,43,0.55,0
Malawi,19016296,0.03,501205,203,94280,-16053,4.3,18,0.18,0
Chile,19080117,0.01,164163,26,743532,111708,1.7,35,0.85,0
Kazakhstan,18726887,0.01,225280,7,2699700,-18000,2.8,31,0.58,0
Zambia,18264906,0.03,522925,25,743390,-8000,4.7,18,0.45,0
Guatemala,17840807,0.02,334096,167,107160,-9215,2.9,23,0.52,0
Ecuador,17583132,0.02,269392,71,248360,36400,2.4,28,0.63,0
Syria,17403304,0.03,430523,95,183630,-427391,2.8,26,0.6,0
Netherlands,17126671,0,37742,508,33720,16000,1.7,43,0.92,0
Senegal,16642341,0.03,447563,87,192530,-20000,4.7,19,0.49,0
Cambodia,16667391,0.01,232423,95,176520,-30000,2.5,26,0.24,0
Chad,16316681,0.03,478988,13,1259200,2000,5.8,17,0.23,0
Somalia,15790723,0.03,450317,25,627340,-40000,6.1,17,0.47,0
Zimbabwe,14814609,0.01,217456,38,386850,-116858,3.6,19,0.38,0
Guinea,13050617,0.03,361549,53,245720,-4000,4.7,18,0.39,0
Rwanda,12878599,0.03,325268,525,24670,-9000,4.1,20,0.18,0
Benin,12050124,0.03,322049,108,112760,-2000,4.9,19,0.48,0
Burundi,11808515,0.03,360204,463,25680,2001,5.5,17,0.14,0
Tunisia,11791293,0.01,123900,76,155360,-4000,2.2,33,0.7,0
Bolivia,11637548,0.01,159921,11,1083300,-9504,2.8,26,0.69,0
Belgium,11578652,0,50295,383,30280,48000,1.7,42,0.98,0
Haiti,11371676,0.01,139451,414,27560,-35000,3,24,0.57,0
Cuba,11328101,0,-6867,106,106440,-14400,1.6,42,0.78,0
South Sudan,11164632,0.01,131612,18,610952,-174200,4.7,19,0.25,0
Dominican Republic,10823900,0.01,108952,225,48320,-30000,2.4,28,0.85,0
Czech Republic (Czechia),10704687,0,19772,139,77240,22011,1.6,43,0.74,0
Greece,10433868,0,-50401,81,128900,-16000,1.3,46,0.85,0
Jordan,10180783,0.01,101440,115,88780,10220,2.8,24,0.91,0
Portugal,10203056,0,-29478,111,91590,-6000,1.3,46,0.66,0
Azerbaijan,10119058,0.01,91459,123,82658,1200,2.1,32,0.56,0
Sweden,10085501,0.01,62886,25,410340,40000,1.9,41,0.88,0
Honduras,9869307,0.02,158490,89,111890,-6800,2.5,24,0.57,0
United Arab Emirates,9863887,0.01,119873,118,83600,40000,1.4,33,0.86,0
Hungary,9665593,0,-24328,107,90530,6000,1.5,43,0.72,0
Tajikistan,9488821,0.02,216627,68,139960,-20000,3.6,22,0.27,0
Belarus,9449991,0,-3088,47,202910,8730,1.7,40,0.79,0
